,Time,Date,Route,Block ID,Element Key,Location,Side of Street,Paid,Load Zone,RPZ,ADA,Rideshare Vehicle,Illegal,Notes,Picture
103,1PM,10/6/2021,UptownCore,RPZ 13,79765,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,0,0,0,0,0,0,,
119,2PM,10/6/2021,UptownCore,RPZ 13,79765,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,0,0,0,0,0,0,,
135,3PM,10/6/2021,UptownCore,RPZ 13,79765,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,0,0,0,0,0,0,,
151,4PM,10/6/2021,UptownCore,RPZ 13,79765,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,0,0,0,0,0,0,,
167,5PM,10/6/2021,UptownCore,RPZ 13,79765,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,0,0,0,0,0,0,,
23,6PM,10/6/2021,UptownCore,RPZ 13,79765,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,0,0,0,0,0,0,,
39,7PM,10/6/2021,UptownCore,RPZ 13,79765,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,0,0,0,0,0,0,,
6,09AM,10/6/2021,UptownCore,RPZ 13,79766,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,1,0,0,0,0,0,,
54,10AM,10/6/2021,UptownCore,RPZ 13,79766,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,1,0,0,0,0,0,,"https://idax.blob.core.windows.net/images/dbc018de-afe5-4a3a-957d-d7ba5598cc96-mobile.jpg,https://idax.blob.core.windows.net/images/1438753b-4b79-4983-b33c-ff3c106d9be3-mobile.jpg"
70,11AM,10/6/2021,UptownCore,RPZ 13,79766,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,5,0,0,0,0,0,,
86,12PM,10/6/2021,UptownCore,RPZ 13,79766,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,0,0,0,0,0,0,,
102,1PM,10/6/2021,UptownCore,RPZ 13,79766,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,1,0,0,0,0,0,,
118,2PM,10/6/2021,UptownCore,RPZ 13,79766,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,0,1,0,0,0,0,,
134,3PM,10/6/2021,UptownCore,RPZ 13,79766,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,1,0,0,0,0,0,,
150,4PM,10/6/2021,UptownCore,RPZ 13,79766,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,0,0,0,0,0,0,,
166,5PM,10/6/2021,UptownCore,RPZ 13,79766,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,0,0,0,0,0,0,,
22,6PM,10/6/2021,UptownCore,RPZ 13,79766,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,0,1,0,0,0,0,,
38,7PM,10/6/2021,UptownCore,RPZ 13,79766,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,S,7,0,0,0,0,0,,
