,Time,Date,Route,Label,Element Key,Location,Side of Street,PAID,Load Zone,RPZ for that Block,ADA,Rideshare,ILLEGAL,Notes,Pictures,,,,
429,12PM,10/9/2021,CommCoreFinS,NO RPZ,11118,JEFFERSON ST BETWEEN 4TH AVE AND 5TH AVE,SE,11,0,0,2,0,0,,,,,,
451,1PM,10/9/2021,CommCoreFinS,NO RPZ,11118,JEFFERSON ST BETWEEN 4TH AVE AND 5TH AVE,SE,10,0,0,1,0,0,,,,,,
473,2PM,10/9/2021,CommCoreFinS,NO RPZ,11118,JEFFERSON ST BETWEEN 4TH AVE AND 5TH AVE,SE,14,0,0,1,0,0,,,,,,
495,3PM,10/9/2021,CommCoreFinS,NO RPZ,11118,JEFFERSON ST BETWEEN 4TH AVE AND 5TH AVE,SE,9,0,0,2,0,1,,,,,,
517,4PM,10/9/2021,CommCoreFinS,NO RPZ,11118,JEFFERSON ST BETWEEN 4TH AVE AND 5TH AVE,SE,12,0,0,1,0,0,,,,,,
539,5PM,10/9/2021,CommCoreFinS,NO RPZ,11118,JEFFERSON ST BETWEEN 4TH AVE AND 5TH AVE,SE,11,0,0,1,0,0,,,,,,
33,6PM,10/9/2021,CommCoreFinS,NO RPZ,11118,JEFFERSON ST BETWEEN 4TH AVE AND 5TH AVE,SE,5,0,0,2,0,0,,,,,,
55,7PM,10/9/2021,CommCoreFinS,NO RPZ,11118,JEFFERSON ST BETWEEN 4TH AVE AND 5TH AVE,SE,3,0,0,1,0,0,,,,,,
11,9AM,10/9/2021,CommCoreFinS,NO RPZ,11118,JEFFERSON ST BETWEEN 4TH AVE AND 5TH AVE,SE,13,0,0,2,0,0,back in parking, 1 paid is accident car probably not moving today,"https://idax.blob.core.windows.net/images/a1ba9c56-2024-4719-add3-ad62ae52dfa9-mobile.jpg,https://idax.blob.core.windows.net/images/ddbeb2fb-1fcc-4681-b9ea-648753875aec-mobile.jpg",,,
113,10AM,10/9/2021,CommCoreFinN,NO RPZ,11665,MARION ST BETWEEN 4TH AVE AND 5TH AVE,NW,6,0,0,2,0,0,,,,,,
141,11AM,10/9/2021,CommCoreFinN,NO RPZ,11665,MARION ST BETWEEN 4TH AVE AND 5TH AVE,NW,5,0,0,3,0,0,,,,,,
169,12PM,10/9/2021,CommCoreFinN,NO RPZ,11665,MARION ST BETWEEN 4TH AVE AND 5TH AVE,NW,5,0,0,3,0,0,,,,,,
197,1PM,10/9/2021,CommCoreFinN,NO RPZ,11665,MARION ST BETWEEN 4TH AVE AND 5TH AVE,NW,5,0,0,3,0,0,,,,,,
225,2PM,10/9/2021,CommCoreFinN,NO RPZ,11665,MARION ST BETWEEN 4TH AVE AND 5TH AVE,NW,6,0,0,3,0,0,,,,,,
253,3PM,10/9/2021,CommCoreFinN,NO RPZ,11665,MARION ST BETWEEN 4TH AVE AND 5TH AVE,NW,5,0,0,2,0,0,,,,,,
281,4PM,10/9/2021,CommCoreFinN,NO RPZ,11665,MARION ST BETWEEN 4TH AVE AND 5TH AVE,NW,6,0,0,3,0,1,one car parked illegal no stops zone ,,,,,
331,5PM,10/9/2021,CommCoreFinN,NO RPZ,11665,MARION ST BETWEEN 4TH AVE AND 5TH AVE,NW,7,0,0,1,0,0,,,,,,
359,6PM,10/9/2021,CommCoreFinN,NO RPZ,11665,MARION ST BETWEEN 4TH AVE AND 5TH AVE,NW,7,0,0,1,0,0,,,,,,
387,7PM,10/9/2021,CommCoreFinN,NO RPZ,11665,MARION ST BETWEEN 4TH AVE AND 5TH AVE,NW,5,0,0,1,0,0,,,,,,
85,9AM,10/9/2021,CommCoreFinN,NO RPZ,11665,MARION ST BETWEEN 4TH AVE AND 5TH AVE,NW,6,0,0,2,0,0,,,,,,
303,10AM,10/9/2021,CommCoreFinS,NO RPZ,30685,6TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,0,4,0,0,0,0,,,,,,
409,11AM,10/9/2021,CommCoreFinS,NO RPZ,30685,6TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,0,3,0,0,0,0,,,,,,
431,12PM,10/9/2021,CommCoreFinS,NO RPZ,30685,6TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,0,1,0,0,0,0,,,,,,
453,1PM,10/9/2021,CommCoreFinS,NO RPZ,30685,6TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,0,2,0,0,0,0,1 always uncounted sdot vehicle in load all day,,,,,
475,2PM,10/9/2021,CommCoreFinS,NO RPZ,30685,6TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,0,1,0,0,0,0,,,,,,
497,3PM,10/9/2021,CommCoreFinS,NO RPZ,30685,6TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,0,1,0,0,0,0,,,,,,
519,4PM,10/9/2021,CommCoreFinS,NO RPZ,30685,6TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,1,1,0,0,0,0,,,,,,
541,5PM,10/9/2021,CommCoreFinS,NO RPZ,30685,6TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,0,1,0,0,0,0,,,,,,
35,6PM,10/9/2021,CommCoreFinS,NO RPZ,30685,6TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,0,0,0,0,0,0,,,,,,
57,7PM,10/9/2021,CommCoreFinS,NO RPZ,30685,6TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,0,0,0,0,0,0,,,,,,
13,9AM,10/9/2021,CommCoreFinS,NO RPZ,30685,6TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,0,3,0,1,0,0,1 load us prob illegal   idling car in load space for large vehicle, sdot veh not counted,"https://idax.blob.core.windows.net/images/e9ad5566-8865-45bf-8848-55628f6491e7-mobile.jpg,https://idax.blob.core.windows.net/images/71d9cb52-6de8-43bb-beeb-dce94079eed2-mobile.jpg,https://idax.blob.core.windows.net/images/9e9f484b-a62b-4dc7-8fb6-bf565270da8f-mobile.jpg,https://idax.blob.core.windows.net/images/4fd09e3e-86a4-4909-946c-d6f80f332485-mobile.jpg",,,
308,10AM,10/9/2021,CommCoreFinS,NO RPZ,32549,COLUMBIA ST BETWEEN 2ND AVE AND 3RD AVE,NW,0,0,0,0,0,0,,,,,,
414,11AM,10/9/2021,CommCoreFinS,NO RPZ,32549,COLUMBIA ST BETWEEN 2ND AVE AND 3RD AVE,NW,0,0,0,0,0,0,,,,,,
436,12PM,10/9/2021,CommCoreFinS,NO RPZ,32549,COLUMBIA ST BETWEEN 2ND AVE AND 3RD AVE,NW,0,0,0,0,0,0,,,,,,
458,1PM,10/9/2021,CommCoreFinS,NO RPZ,32549,COLUMBIA ST BETWEEN 2ND AVE AND 3RD AVE,NW,0,0,0,0,0,0,,,,,,
480,2PM,10/9/2021,CommCoreFinS,NO RPZ,32549,COLUMBIA ST BETWEEN 2ND AVE AND 3RD AVE,NW,0,0,0,0,0,0,,,,,,
502,3PM,10/9/2021,CommCoreFinS,NO RPZ,32549,COLUMBIA ST BETWEEN 2ND AVE AND 3RD AVE,NW,0,0,0,0,0,0,,,,,,
524,4PM,10/9/2021,CommCoreFinS,NO RPZ,32549,COLUMBIA ST BETWEEN 2ND AVE AND 3RD AVE,NW,0,0,0,0,0,0,,,,,,
546,5PM,10/9/2021,CommCoreFinS,NO RPZ,32549,COLUMBIA ST BETWEEN 2ND AVE AND 3RD AVE,NW,0,0,0,0,0,0,,,,,,
40,6PM,10/9/2021,CommCoreFinS,NO RPZ,32549,COLUMBIA ST BETWEEN 2ND AVE AND 3RD AVE,NW,0,0,0,0,0,0,,,,,,
62,7PM,10/9/2021,CommCoreFinS,NO RPZ,32549,COLUMBIA ST BETWEEN 2ND AVE AND 3RD AVE,NW,3,0,0,0,0,0,,,,,,
18,9AM,10/9/2021,CommCoreFinS,NO RPZ,32549,COLUMBIA ST BETWEEN 2ND AVE AND 3RD AVE,NW,0,0,0,0,0,0,load yellow paint but no sign or pay kiosk , only signs  for no parking on West end,https://idax.blob.core.windows.net/images/9a0dca96-b99d-420e-bc20-b8ffdbe10dc9-mobile.jpg,,,
117,10AM,10/9/2021,CommCoreFinN,NO RPZ,34214,MADISON ST BETWEEN 3RD AVE AND 4TH AVE,SE,0,0,0,0,0,0,,,,,,
145,11AM,10/9/2021,CommCoreFinN,NO RPZ,34214,MADISON ST BETWEEN 3RD AVE AND 4TH AVE,SE,0,0,0,0,0,0,,,,,,
173,12PM,10/9/2021,CommCoreFinN,NO RPZ,34214,MADISON ST BETWEEN 3RD AVE AND 4TH AVE,SE,0,0,0,0,0,0,,,,,,
201,1PM,10/9/2021,CommCoreFinN,NO RPZ,34214,MADISON ST BETWEEN 3RD AVE AND 4TH AVE,SE,0,0,0,0,0,0,,,,,,
229,2PM,10/9/2021,CommCoreFinN,NO RPZ,34214,MADISON ST BETWEEN 3RD AVE AND 4TH AVE,SE,0,0,0,0,0,0,construction no parking ,,,,,
257,3PM,10/9/2021,CommCoreFinN,NO RPZ,34214,MADISON ST BETWEEN 3RD AVE AND 4TH AVE,SE,0,0,0,0,0,0,construction no parking ,,,,,
285,4PM,10/9/2021,CommCoreFinN,NO RPZ,34214,MADISON ST BETWEEN 3RD AVE AND 4TH AVE,SE,0,0,0,0,0,0,construction no parking ,,,,,
335,5PM,10/9/2021,CommCoreFinN,NO RPZ,34214,MADISON ST BETWEEN 3RD AVE AND 4TH AVE,SE,0,0,0,0,0,0,construction no parking ,,,,,
363,6PM,10/9/2021,CommCoreFinN,NO RPZ,34214,MADISON ST BETWEEN 3RD AVE AND 4TH AVE,SE,0,0,0,0,0,0,construction no parking ,,,,,
391,7PM,10/9/2021,CommCoreFinN,NO RPZ,34214,MADISON ST BETWEEN 3RD AVE AND 4TH AVE,SE,0,0,0,0,0,0,construction no parking ,,,,,
89,9AM,10/9/2021,CommCoreFinN,NO RPZ,34214,MADISON ST BETWEEN 3RD AVE AND 4TH AVE,SE,0,0,0,0,0,0,construction no parking ,https://idax.blob.core.windows.net/images/634e77b8-fdf3-4417-82a9-4faf23b0e105-mobile.jpg,,,,
121,10AM,10/9/2021,CommCoreFinN,NO RPZ,34218,MADISON ST BETWEEN 5TH AVE AND 6TH AVE,SE,0,5,0,0,0,0,,,,,,
149,11AM,10/9/2021,CommCoreFinN,NO RPZ,34218,MADISON ST BETWEEN 5TH AVE AND 6TH AVE,SE,0,0,0,0,0,0,,,,,,
177,12PM,10/9/2021,CommCoreFinN,NO RPZ,34218,MADISON ST BETWEEN 5TH AVE AND 6TH AVE,SE,0,0,0,0,0,0,,,,,,
205,1PM,10/9/2021,CommCoreFinN,NO RPZ,34218,MADISON ST BETWEEN 5TH AVE AND 6TH AVE,SE,0,0,0,0,0,0,,,,,,
233,2PM,10/9/2021,CommCoreFinN,NO RPZ,34218,MADISON ST BETWEEN 5TH AVE AND 6TH AVE,SE,0,0,0,0,0,0,no cars ,,,,,
261,3PM,10/9/2021,CommCoreFinN,NO RPZ,34218,MADISON ST BETWEEN 5TH AVE AND 6TH AVE,SE,0,2,0,0,0,0,,,,,,
289,4PM,10/9/2021,CommCoreFinN,NO RPZ,34218,MADISON ST BETWEEN 5TH AVE AND 6TH AVE,SE,0,1,0,0,0,0,,,,,,
339,5PM,10/9/2021,CommCoreFinN,NO RPZ,34218,MADISON ST BETWEEN 5TH AVE AND 6TH AVE,SE,0,1,0,0,0,0,,,,,,
367,6PM,10/9/2021,CommCoreFinN,NO RPZ,34218,MADISON ST BETWEEN 5TH AVE AND 6TH AVE,SE,0,0,0,0,0,0,no cars,,,,,
395,7PM,10/9/2021,CommCoreFinN,NO RPZ,34218,MADISON ST BETWEEN 5TH AVE AND 6TH AVE,SE,0,1,0,0,0,1,temp 24hrs no stop / parking sigange starts 11/15,,,,,
93,9AM,10/9/2021,CommCoreFinN,NO RPZ,34218,MADISON ST BETWEEN 5TH AVE AND 6TH AVE,SE,0,1,0,0,0,0,bo parking - one load zone at east end of block,"https://idax.blob.core.windows.net/images/e00fb5ea-3402-4047-af12-f5c1c22c0c57-mobile.jpg,https://idax.blob.core.windows.net/images/78c7c361-71bd-4f3e-a4e8-0ac46d2d4218-mobile.jpg",,,,
101,10AM,10/9/2021,CommCoreFinN,NO RPZ,35497,SPRING ST BETWEEN 2ND AVE AND 3RD AVE,NW,0,0,0,0,0,0,,,,,,
129,11AM,10/9/2021,CommCoreFinN,NO RPZ,35497,SPRING ST BETWEEN 2ND AVE AND 3RD AVE,NW,0,0,0,0,0,0,,,,,,
157,12PM,10/9/2021,CommCoreFinN,NO RPZ,35497,SPRING ST BETWEEN 2ND AVE AND 3RD AVE,NW,0,0,0,0,0,0,,"https://idax.blob.core.windows.net/images/7dde1e5a-4e1a-4a6a-8b5a-b1c2b72ba52d-mobile.jpg,https://idax.blob.core.windows.net/images/63b1d5bc-36ea-482e-97cd-f33583ab58f8-mobile.jpg",,,,
185,1PM,10/9/2021,CommCoreFinN,NO RPZ,35497,SPRING ST BETWEEN 2ND AVE AND 3RD AVE,NW,5,1,0,0,0,0,one USPS on load zone,https://idax.blob.core.windows.net/images/a8cb9d8a-ec5a-420c-bdbd-c0a6410d18e4-mobile.jpg,,,,
213,2PM,10/9/2021,CommCoreFinN,NO RPZ,35497,SPRING ST BETWEEN 2ND AVE AND 3RD AVE,NW,0,0,0,0,0,0,construction no parking ,,,,,
241,3PM,10/9/2021,CommCoreFinN,NO RPZ,35497,SPRING ST BETWEEN 2ND AVE AND 3RD AVE,NW,0,0,0,0,0,0,construction no parking ,,,,,
