,period,study_area,sub_area,area_subarea,parking_transaction_date_time,paymen_tmean,transaction_amount,paidduration_in_minutes,source_element_key
49,Morning,Uptown Triangle,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,3/25/2022 10:35,PHONE,3,360,53138
50,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 14:27,PHONE,1,120,94602
51,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 13:27,PHONE,6,240,57194
52,Afternoon,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 13:27,PHONE,1,60,47225
53,Morning,South Lake Union,North,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,3/25/2022 8:03,PHONE,3.5,420,12682
54,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 8:03,PHONE,2,240,1433
55,Evening,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 17:27,PHONE,0.83,33,57194
56,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 12:27,PHONE,0.75,30,57194
57,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 9:39,CREDIT CARD,1,120,94602
58,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 9:39,CREDIT CARD,0.5,60,47225
59,Evening,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 17:27,PHONE,0.28,33,1433
60,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 15:28,PHONE,0.75,30,57193
61,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 8:04,PHONE,0.13,15,57193
62,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 12:28,PHONE,1,120,94602
63,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 15:28,PHONE,3.8,152,57194
64,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 8:04,PHONE,0.5,60,57193
65,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 16:32,PHONE,1.73,208,24042
66,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 16:32,PHONE,0.88,35,57193
67,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 16:32,PHONE,1.73,208,24041
68,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 9:42,PHONE,0.25,30,1433
69,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 10:39,CASH,1.15,120,94602
70,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 11:35,CREDIT CARD,2,240,1433
71,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 8:05,PHONE,1,120,94602
72,Morning,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/25/2022 10:40,PHONE,1.5,60,30970
73,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 14:29,PHONE,0.25,30,94602
74,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 11:36,PHONE,1,120,94602
75,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 11:36,PHONE,0.75,30,57193
76,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 13:29,PHONE,1,120,24041
77,Evening,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 18:37,CREDIT CARD,0.7,83,47225
78,Evening,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 17:30,PHONE,0.25,30,1433
79,Morning,Belltown,South,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,3/25/2022 10:42,PHONE,2.72,95,70750
80,Afternoon,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 12:30,PHONE,1,60,47225
81,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 11:37,CREDIT CARD,2,240,1433
82,Evening,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 19:43,PHONE,0.14,17,47225
83,Evening,Pike-Pine,,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST,3/25/2022 19:44,PHONE,0.25,30,77317
84,Evening,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 17:30,PHONE,0.75,30,57194
85,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 11:38,PHONE,1.5,180,1433
86,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 15:31,PHONE,3.73,149,57194
87,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 16:35,PHONE,1.5,60,57194
88,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 15:32,PHONE,1,120,94602
89,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 12:32,PHONE,0.75,90,1433
90,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 8:08,CREDIT CARD,2,240,1433
91,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 10:45,PHONE,0.88,45,57193
92,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 12:32,CREDIT CARD,1.75,210,1433
93,Afternoon,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 16:36,PHONE,0.45,30,47225
94,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 14:32,PHONE,0.25,30,94602
95,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 13:33,PHONE,1.5,60,57194
96,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 13:33,PHONE,1.5,180,24041
97,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 15:33,CREDIT CARD,1,120,94602
98,Evening,Belltown,South,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,3/25/2022 19:49,PHONE,0.09,11,70750
99,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 13:33,CASH,2,240,24041
100,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 16:38,PHONE,0.68,82,94602
101,Evening,Pike-Pine,,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST,3/25/2022 18:44,PHONE,0.25,30,77317
102,Morning,Belltown,South,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,3/25/2022 11:42,PHONE,4,120,70750
103,Evening,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 17:35,PHONE,0.21,25,94602
104,Morning,Uptown Triangle,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,3/25/2022 9:52,PHONE,1,120,53137
105,Evening,Pike-Pine,,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST,3/25/2022 18:46,PHONE,1.62,194,77317
106,Afternoon,Uptown Triangle,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,3/25/2022 16:40,CREDIT CARD,0.25,21,53137
107,Evening,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 19:58,PHONE,0.02,2,24041
108,Morning,Uptown Triangle,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,3/25/2022 8:16,PHONE,3,360,53137
109,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 8:17,PHONE,1,120,94602
110,Evening,Belltown,South,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,3/25/2022 18:47,CREDIT CARD,0.25,30,70750
111,Afternoon,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 15:37,PHONE,1,60,47225
112,Morning,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 9:53,PHONE,2,240,24041
113,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 13:37,CREDIT CARD,3,120,57193
114,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 8:18,CASH,1,120,94602
115,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/26/2022 8:00,CREDIT CARD,0.25,30,57194
116,Evening,Belltown,South,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,3/25/2022 18:48,CREDIT CARD,0.25,30,70750
117,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 8:19,PHONE,1,120,94602
118,Morning,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 8:19,PHONE,0.5,60,57194
119,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 12:38,PHONE,1.5,180,24041
120,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 9:54,PHONE,0.5,60,47225
121,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 15:39,CREDIT CARD,2,240,24042
122,Afternoon,Uptown Triangle,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,3/25/2022 16:43,PHONE,0.08,10,53137
123,Evening,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 17:38,PHONE,1.18,142,24041
124,Afternoon,Belltown,South,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,3/25/2022 16:43,PHONE,1.43,120,70750
125,Afternoon,Uptown Triangle,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,3/25/2022 16:43,CREDIT CARD,14.5,182,53137
126,Afternoon,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 14:38,PHONE,2,120,47225
127,Evening,Belltown,South,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,3/25/2022 18:49,CREDIT CARD,0.25,12,70750
128,Evening,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 18:50,PHONE,0.58,70,24041
129,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 9:55,CREDIT CARD,1,120,94602
130,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 14:39,PHONE,1.68,201,1433
131,Unknown,Pike-Pine,,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST,3/25/2022 20:10,PHONE,0.13,15,77317
132,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 10:53,PHONE,1.94,120,47225
133,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 15:40,PHONE,1,120,94602
134,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 9:55,CREDIT CARD,1.46,120,47225
135,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 14:39,PHONE,0.25,30,94602
136,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 12:39,CREDIT CARD,1.75,70,57193
137,Evening,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 17:39,CREDIT CARD,1.18,141,47225
138,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 16:45,PHONE,0.63,75,1433
139,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 14:40,PHONE,0.25,30,94602
140,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 9:56,PHONE,1,120,1433
141,Morning,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/25/2022 11:49,PHONE,1.5,45,30970
142,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 12:40,PHONE,1.5,60,57193
143,Afternoon,Denny Triangle,North,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,3/25/2022 15:41,PHONE,1.5,60,57194
144,Afternoon,Uptown Triangle,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,3/25/2022 14:40,PHONE,3.17,180,53137
145,Morning,South Lake Union,North,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,3/25/2022 9:56,PHONE,1,120,10165
146,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 8:24,PHONE,2,240,1433
147,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 15:41,CASH,1,120,94602
148,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 16:45,PHONE,1,120,24041
149,Unknown,Pike-Pine,,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST,3/25/2022 20:20,PHONE,0.83,100,77317
150,Afternoon,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 13:41,PHONE,1.5,90,47225
151,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 13:41,PHONE,0.38,45,94602
152,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 8:24,PHONE,0.38,45,47225
153,Afternoon,South Lake Union,North,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,3/25/2022 13:41,CREDIT CARD,0.66,79,10165
154,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 8:25,PHONE,2,240,1433
155,Afternoon,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 14:41,PHONE,2,120,47225
156,Morning,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 10:56,PHONE,1,120,24042
157,Unknown,Pike-Pine,,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST,3/25/2022 20:25,PHONE,0.08,10,77317
158,Unknown,Pike-Pine,,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST,3/25/2022 20:25,PHONE,0.79,95,77317
159,Morning,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 9:58,PHONE,2,240,24041
160,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 9:58,PHONE,1.48,120,47225
161,Morning,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/25/2022 9:58,PHONE,0.25,30,30970
162,Afternoon,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 14:42,PHONE,1,60,47225
163,Morning,South Lake Union,North,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,3/25/2022 11:51,CREDIT CARD,1,120,10165
164,Afternoon,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/25/2022 12:42,PHONE,4,120,30970
165,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 14:42,CREDIT CARD,0.83,99,94602
166,Evening,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 18:55,PHONE,0.5,60,24041
169,Afternoon,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 12:42,CASH,0.75,90,94602
170,Afternoon,Belltown,South,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,3/25/2022 16:48,PHONE,1.3,120,70750
171,Evening,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 17:42,CREDIT CARD,1.16,138,47225
172,Afternoon,Belltown,South,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,3/25/2022 16:49,PHONE,1.27,119,70750
173,Unknown,Pike-Pine,,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST,3/25/2022 20:36,PHONE,0.7,84,77317
174,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 11:53,PHONE,0.25,30,94602
175,Afternoon,Uptown Triangle,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,3/25/2022 14:44,PHONE,0.25,30,53137
176,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 13:44,PHONE,2,240,1433
177,Evening,Belltown,South,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,3/25/2022 18:57,PHONE,0.25,30,70750
178,Evening,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 18:57,PHONE,0.53,63,24041
179,Morning,Uptown Triangle,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,3/25/2022 10:58,PHONE,0.58,70,53138
180,Evening,Uptown Triangle,,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,3/25/2022 17:43,CREDIT CARD,1.5,30,53138
181,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 8:31,CREDIT CARD,1,120,47225
182,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 14:44,CREDIT CARD,1.64,196,1433
183,Morning,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 8:32,PHONE,0.5,60,1433
184,Afternoon,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/25/2022 12:45,PHONE,4,120,30970
185,Morning,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 10:59,CREDIT CARD,2,120,47225
186,Afternoon,University District,Edge,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,3/25/2022 14:45,PHONE,0.29,35,1433
187,Afternoon,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 16:52,PHONE,1.57,188,24041
188,Morning,Belltown,North,1ST AVE BETWEEN BELL ST AND BATTERY ST,3/25/2022 8:34,PHONE,0.25,30,24041
189,Evening,Denny Triangle,South,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,3/25/2022 17:46,PHONE,0.75,90,30970
190,Morning,South Lake Union,North,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,3/25/2022 8:35,PHONE,1,120,94602
191,Afternoon,University District,Core,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,3/25/2022 13:48,PHONE,0.25,15,47225
192,Evening,Belltown,South,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,3/25/2022 17:46,CREDIT CARD,1.12,133,70750
