,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,1ST AVE BETWEEN BELL ST AND BATTERY ST,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST,6TH AVE N BETWEEN JOHN ST AND THOMAS ST,7TH AVE BETWEEN OLIVE WAY AND STEWART ST,BOYLSTON AVE BETWEEN E PIKE ST AND E PINE ST,EASTLAKE AVE E BETWEEN ALOHA ST AND WARD ST,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N
2022-03-21 08:56:00,0.536,0.286,0.167,0.125,1.421,0.5,0.0,0.833,0.083,0.417,1.077,1.0
2022-03-21 08:57:00,0.536,0.286,0.167,0.125,1.421,0.5,0.0,0.833,0.083,0.417,1.077,1.0
2022-03-21 08:58:00,0.536,0.286,0.167,0.125,1.474,0.5,0.0,0.833,0.083,0.417,1.077,1.0
2022-03-21 08:59:00,0.571,0.286,0.167,0.125,1.474,0.5,0.0,0.833,0.083,0.417,1.077,1.0
2022-03-21 09:00:00,0.571,0.286,0.167,0.125,1.474,0.5,0.0,0.833,0.083,0.417,1.077,1.0
2022-03-21 09:01:00,0.571,0.286,0.167,0.125,1.474,0.5,0.0,0.833,0.083,0.417,1.077,1.0
2022-03-21 09:02:00,0.571,0.286,0.167,0.125,1.474,0.5,0.0,0.833,0.083,0.417,1.154,1.0
2022-03-21 09:03:00,0.571,0.286,0.167,0.125,1.474,0.5,0.0,0.833,0.083,0.458,1.077,1.0
2022-03-21 09:04:00,0.607,0.286,0.167,0.125,1.474,0.5,0.0,0.833,0.083,0.5,1.0,1.0
2022-03-21 09:05:00,0.607,0.286,0.167,0.125,1.474,0.5,0.0,0.833,0.083,0.5,1.0,1.0
2022-03-21 09:06:00,0.643,0.286,0.25,0.125,1.474,0.5,0.0,0.833,0.083,0.5,0.923,1.0
2022-03-21 09:07:00,0.643,0.286,0.25,0.125,1.474,0.5,0.0,0.833,0.083,0.5,0.923,1.0
2022-03-21 09:08:00,0.643,0.286,0.25,0.125,1.474,0.5,0.0,0.833,0.083,0.5,1.0,1.0
2022-03-21 09:09:00,0.643,0.286,0.25,0.125,1.474,0.5,0.0,0.833,0.083,0.5,1.0,1.0
2022-03-21 09:10:00,0.643,0.286,0.25,0.125,1.474,0.5,0.0,0.833,0.083,0.5,1.0,1.0
2022-03-21 09:11:00,0.643,0.286,0.25,0.125,1.474,0.5,0.0,0.833,0.083,0.5,1.0,1.0
2022-03-21 09:12:00,0.643,0.286,0.25,0.125,1.474,0.5,0.0,0.833,0.083,0.5,0.923,1.0
2022-03-21 09:13:00,0.643,0.286,0.25,0.125,1.526,0.5,0.0,0.833,0.083,0.5,0.923,1.0
2022-03-21 09:14:00,0.643,0.286,0.25,0.125,1.526,0.5,0.0,0.833,0.083,0.5,0.923,1.0
2022-03-21 09:15:00,0.643,0.286,0.25,0.125,1.526,0.5,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:16:00,0.643,0.286,0.25,0.125,1.526,0.5,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:17:00,0.679,0.286,0.25,0.125,1.526,0.5,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:18:00,0.679,0.286,0.333,0.125,1.526,0.5,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:19:00,0.679,0.286,0.333,0.125,1.526,0.5,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:20:00,0.679,0.286,0.333,0.125,1.526,0.5,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:21:00,0.679,0.286,0.333,0.125,1.526,0.5,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:22:00,0.679,0.286,0.333,0.125,1.526,0.5,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:23:00,0.714,0.286,0.333,0.125,1.526,0.5,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:24:00,0.714,0.286,0.333,0.125,1.526,0.5,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:25:00,0.714,0.286,0.417,0.125,1.526,0.75,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:26:00,0.714,0.286,0.417,0.125,1.526,0.75,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:27:00,0.714,0.286,0.417,0.125,1.526,0.75,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:28:00,0.714,0.286,0.417,0.25,1.526,0.75,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:29:00,0.714,0.286,0.417,0.25,1.526,0.75,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:30:00,0.714,0.286,0.417,0.375,1.526,0.75,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:31:00,0.714,0.286,0.417,0.375,1.526,0.75,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:32:00,0.714,0.286,0.5,0.375,1.526,0.75,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:33:00,0.714,0.286,0.5,0.375,1.526,0.75,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:34:00,0.714,0.286,0.5,0.375,1.526,0.75,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:35:00,0.714,0.286,0.5,0.375,1.526,0.75,0.0,0.833,0.083,0.542,0.923,1.0
2022-03-21 09:36:00,0.714,0.286,0.5,0.375,1.526,0.75,0.0,0.833,0.083,0.583,1.0,1.0
2022-03-21 09:37:00,0.714,0.286,0.5,0.375,1.526,0.75,0.0,0.833,0.083,0.583,1.0,1.0
2022-03-21 09:38:00,0.714,0.286,0.5,0.375,1.526,0.75,0.0,0.833,0.083,0.583,1.0,1.0
2022-03-21 09:39:00,0.714,0.286,0.5,0.375,1.526,0.75,0.0,0.833,0.083,0.583,1.0,1.0
2022-03-21 09:40:00,0.714,0.286,0.5,0.375,1.526,0.75,0.0,0.833,0.083,0.583,1.0,1.0
2022-03-21 09:41:00,0.679,0.286,0.5,0.375,1.526,0.75,0.0,0.833,0.083,0.583,1.0,1.0
2022-03-21 09:42:00,0.679,0.286,0.5,0.375,1.526,0.75,0.0,0.833,0.083,0.583,0.923,1.0
2022-03-21 09:43:00,0.679,0.286,0.5,0.375,1.526,0.75,0.0,0.833,0.083,0.583,0.923,1.0
2022-03-21 09:44:00,0.679,0.286,0.583,0.375,1.526,0.75,0.0,0.833,0.083,0.583,0.923,1.0
2022-03-21 09:45:00,0.679,0.286,0.583,0.375,1.526,0.75,0.0,0.833,0.083,0.583,0.923,1.0
2022-03-21 09:46:00,0.679,0.286,0.583,0.375,1.526,0.75,0.0,0.833,0.083,0.583,0.923,1.0
2022-03-21 09:47:00,0.679,0.286,0.583,0.375,1.526,0.75,0.0,0.833,0.083,0.583,1.0,1.0
2022-03-21 09:48:00,0.679,0.286,0.583,0.375,1.526,0.75,0.0,0.833,0.083,0.583,1.0,1.0
2022-03-21 09:49:00,0.643,0.286,0.583,0.375,1.526,0.75,0.0,0.833,0.083,0.583,1.0,1.0
2022-03-21 09:50:00,0.643,0.286,0.583,0.375,1.526,1.0,0.0,0.833,0.083,0.667,1.0,1.0
2022-03-21 09:51:00,0.643,0.286,0.583,0.375,1.526,1.0,0.0,0.833,0.083,0.667,1.0,1.0
2022-03-21 09:52:00,0.643,0.286,0.583,0.375,1.526,1.0,0.0,0.833,0.083,0.625,1.0,1.0
2022-03-21 09:53:00,0.643,0.286,0.583,0.375,1.526,1.0,0.0,0.833,0.083,0.625,1.0,1.0
2022-03-21 09:54:00,0.643,0.286,0.583,0.375,1.526,1.0,0.0,0.833,0.083,0.625,1.0,1.0
2022-03-21 09:55:00,0.643,0.286,0.583,0.375,1.526,1.0,0.0,0.833,0.083,0.625,1.0,1.0
2022-03-21 09:56:00,0.643,0.286,0.583,0.375,1.526,1.0,0.0,0.833,0.083,0.625,1.0,1.0
2022-03-21 09:57:00,0.643,0.286,0.583,0.375,1.526,1.0,0.0,0.833,0.083,0.542,1.0,1.0
2022-03-21 09:58:00,0.643,0.286,0.583,0.375,1.526,1.0,0.0,0.833,0.083,0.542,1.0,1.0
2022-03-21 09:59:00,0.643,0.286,0.583,0.375,1.526,1.0,0.0,0.833,0.083,0.542,1.0,1.0
2022-03-21 10:00:00,0.643,0.286,0.583,0.375,1.526,1.0,0.0,0.833,0.083,0.583,1.0,1.0
2022-03-21 10:01:00,0.643,0.286,0.583,0.375,1.526,1.0,0.0,0.833,0.083,0.5,1.0,1.0
2022-03-21 10:02:00,0.679,0.286,0.583,0.375,1.526,1.0,0.0,0.833,0.083,0.5,1.0,1.0
2022-03-21 10:03:00,0.679,0.143,0.583,0.375,1.526,1.0,0.0,0.833,0.083,0.5,0.923,1.0
2022-03-21 10:04:00,0.679,0.143,0.583,0.375,1.526,1.0,0.0,0.833,0.083,0.5,0.923,1.0
2022-03-21 10:05:00,0.714,0.143,0.583,0.375,1.526,1.0,0.0,0.833,0.083,0.5,0.923,1.0
2022-03-21 10:06:00,0.679,0.143,0.583,0.375,1.526,1.0,0.0,0.833,0.083,0.5,0.923,1.0
2022-03-21 10:07:00,0.679,0.143,0.583,0.375,1.526,1.0,0.0,0.917,0.083,0.5,0.923,1.0
2022-03-21 10:08:00,0.679,0.143,0.583,0.5,1.526,1.0,0.0,0.917,0.083,0.5,0.923,1.0
2022-03-21 10:09:00,0.679,0.143,0.583,0.5,1.526,1.0,0.0,0.917,0.083,0.458,0.846,1.0
2022-03-21 10:10:00,0.714,0.143,0.583,0.5,1.526,1.0,0.0,0.917,0.083,0.458,0.846,1.0
2022-03-21 10:11:00,0.75,0.143,0.583,0.5,1.526,1.0,0.0,0.917,0.083,0.458,0.846,1.0
2022-03-21 10:12:00,0.75,0.143,0.583,0.5,1.526,1.0,0.0,0.917,0.083,0.458,0.846,1.0
2022-03-21 10:13:00,0.75,0.143,0.583,0.5,1.526,1.0,0.0,0.917,0.083,0.458,0.846,1.0
2022-03-21 10:14:00,0.75,0.143,0.583,0.5,1.526,1.0,0.0,0.917,0.083,0.458,0.846,1.0
2022-03-21 10:15:00,0.75,0.143,0.583,0.5,1.526,1.0,0.0,0.917,0.083,0.458,0.846,1.0
2022-03-21 10:16:00,0.75,0.143,0.583,0.5,1.526,1.0,0.0,0.917,0.083,0.458,0.846,1.0
2022-03-21 10:17:00,0.75,0.143,0.583,0.5,1.526,1.0,0.0,0.917,0.083,0.458,0.846,1.0
2022-03-21 10:18:00,0.75,0.143,0.583,0.5,1.526,1.0,0.0,0.917,0.083,0.417,0.923,1.0
2022-03-21 10:19:00,0.75,0.143,0.583,0.5,1.526,1.0,0.0,0.917,0.083,0.375,0.923,1.0
2022-03-21 10:20:00,0.75,0.143,0.583,0.625,1.526,1.0,0.0,0.917,0.083,0.417,1.0,1.0
2022-03-21 10:21:00,0.75,0.143,0.667,0.625,1.526,1.0,0.0,0.917,0.083,0.375,1.077,1.0
2022-03-21 10:22:00,0.75,0.143,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.375,1.077,1.0
2022-03-21 10:23:00,0.75,0.143,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.375,1.077,1.0
2022-03-21 10:24:00,0.714,0.143,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.375,1.077,1.0
2022-03-21 10:25:00,0.714,0.143,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.375,1.077,1.0
2022-03-21 10:26:00,0.714,0.143,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.375,1.077,1.0
2022-03-21 10:27:00,0.714,0.0,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.375,1.077,1.0
2022-03-21 10:28:00,0.75,0.0,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.375,1.077,1.0
2022-03-21 10:29:00,0.714,0.0,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.375,1.077,1.0
2022-03-21 10:30:00,0.714,0.0,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.375,1.077,1.0
2022-03-21 10:31:00,0.714,0.0,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.375,1.077,1.0
2022-03-21 10:32:00,0.714,0.0,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.375,1.077,1.0
2022-03-21 10:33:00,0.714,0.0,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.375,1.077,1.0
2022-03-21 10:34:00,0.714,0.0,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.417,1.077,1.0
2022-03-21 10:35:00,0.714,0.143,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.458,1.077,1.0
2022-03-21 10:36:00,0.714,0.143,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.417,1.077,1.0
2022-03-21 10:37:00,0.714,0.143,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.417,1.0,1.0
2022-03-21 10:38:00,0.714,0.143,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.417,1.0,1.0
2022-03-21 10:39:00,0.714,0.143,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.417,1.0,1.0
2022-03-21 10:40:00,0.75,0.286,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.417,1.0,1.0
2022-03-21 10:41:00,0.75,0.286,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.417,1.0,1.0
2022-03-21 10:42:00,0.75,0.286,0.667,0.5,1.526,1.0,0.0,0.917,0.083,0.417,1.0,1.0
2022-03-21 10:43:00,0.75,0.286,0.667,0.5,1.526,0.75,0.0,0.917,0.083,0.417,1.0,1.0
2022-03-21 10:44:00,0.786,0.286,0.667,0.5,1.526,0.75,0.0,0.917,0.083,0.458,1.0,1.0
2022-03-21 10:45:00,0.786,0.286,0.667,0.5,1.526,0.75,0.0,0.917,0.083,0.458,1.0,1.0
2022-03-21 10:46:00,0.786,0.286,0.667,0.5,1.526,0.75,0.0,0.917,0.083,0.458,1.0,1.0
2022-03-21 10:47:00,0.786,0.286,0.667,0.5,1.526,0.75,0.0,0.917,0.083,0.458,1.077,1.0
2022-03-21 10:48:00,0.786,0.286,0.667,0.5,1.526,0.75,0.0,0.917,0.083,0.458,1.0,1.0
2022-03-21 10:49:00,0.786,0.286,0.667,0.5,1.526,0.75,0.0,0.917,0.083,0.458,1.0,1.0
2022-03-21 10:50:00,0.786,0.286,0.667,0.5,1.526,0.75,0.0,0.917,0.083,0.458,1.0,1.0
2022-03-21 10:51:00,0.786,0.143,0.667,0.5,1.526,0.75,0.0,0.917,0.083,0.458,0.923,1.0
2022-03-21 10:52:00,0.786,0.143,0.667,0.5,1.526,0.75,0.0,0.917,0.083,0.458,0.923,1.0
2022-03-21 10:53:00,0.786,0.143,0.667,0.5,1.526,0.75,0.0,0.917,0.083,0.458,0.923,1.0
2022-03-21 10:54:00,0.786,0.143,0.667,0.5,1.526,0.75,0.0,0.917,0.083,0.458,0.923,1.0
2022-03-21 10:55:00,0.821,0.143,0.667,0.5,1.526,0.75,0.0,0.917,0.083,0.458,0.923,1.0
2022-03-21 10:56:00,0.821,0.143,0.667,0.5,1.526,0.75,0.0,0.917,0.083,0.458,0.923,1.0
2022-03-21 10:57:00,0.857,0.143,0.667,0.5,1.526,0.75,0.0,0.917,0.083,0.458,0.923,1.0
2022-03-21 10:58:00,0.857,0.143,0.667,0.5,1.579,0.75,0.0,0.917,0.083,0.458,0.923,1.0
2022-03-21 10:59:00,0.857,0.143,0.667,0.5,1.579,0.75,0.0,0.917,0.083,0.5,1.077,1.0
2022-03-21 11:00:00,0.857,0.143,0.667,0.5,1.579,0.75,0.0,0.917,0.083,0.5,1.077,1.0
2022-03-21 11:01:00,0.857,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.5,1.077,1.0
2022-03-21 11:02:00,0.857,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.5,1.077,1.0
2022-03-21 11:03:00,0.857,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.5,1.077,1.0
2022-03-21 11:04:00,0.857,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.458,1.077,1.0
2022-03-21 11:05:00,0.857,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.077,1.0
2022-03-21 11:06:00,0.821,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.077,1.0
2022-03-21 11:07:00,0.821,0.143,0.667,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.077,1.0
2022-03-21 11:08:00,0.821,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.077,1.0
2022-03-21 11:09:00,0.821,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.077,1.0
2022-03-21 11:10:00,0.821,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.077,1.0
2022-03-21 11:11:00,0.821,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.077,1.0
2022-03-21 11:12:00,0.786,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.154,1.0
2022-03-21 11:13:00,0.786,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.154,1.0
2022-03-21 11:14:00,0.786,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.458,1.154,1.0
2022-03-21 11:15:00,0.786,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.458,1.154,1.0
2022-03-21 11:16:00,0.786,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.154,1.0
2022-03-21 11:17:00,0.786,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.308,1.0
2022-03-21 11:18:00,0.786,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.231,1.0
2022-03-21 11:19:00,0.786,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.231,1.0
2022-03-21 11:20:00,0.786,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.231,1.0
2022-03-21 11:21:00,0.786,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.308,1.0
2022-03-21 11:22:00,0.786,0.143,0.75,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.231,1.0
2022-03-21 11:23:00,0.786,0.143,0.833,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.231,1.0
2022-03-21 11:24:00,0.786,0.429,0.833,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.231,1.0
2022-03-21 11:25:00,0.786,0.429,0.833,0.5,1.579,1.0,0.0,0.917,0.083,0.417,1.231,1.0
2022-03-21 11:26:00,0.786,0.429,0.833,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.308,1.0
2022-03-21 11:27:00,0.786,0.429,0.833,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.308,1.0
2022-03-21 11:28:00,0.786,0.429,0.833,0.5,1.579,0.75,0.0,0.917,0.083,0.417,1.308,1.0
2022-03-21 11:29:00,0.786,0.429,0.833,0.375,1.579,0.75,0.0,0.917,0.083,0.417,1.308,1.0
2022-03-21 11:30:00,0.786,0.429,0.833,0.375,1.579,0.75,0.0,0.917,0.083,0.417,1.308,1.0
2022-03-21 11:31:00,0.786,0.429,0.833,0.25,1.579,1.0,0.0,0.917,0.083,0.417,1.308,1.0
2022-03-21 11:32:00,0.786,0.429,0.833,0.25,1.579,1.0,0.0,0.917,0.083,0.417,1.308,1.0
2022-03-21 11:33:00,0.786,0.429,0.833,0.25,1.579,1.0,0.0,0.917,0.083,0.417,1.308,1.0
2022-03-21 11:34:00,0.786,0.429,0.833,0.25,1.579,1.0,0.0,0.917,0.083,0.417,1.308,1.0
2022-03-21 11:35:00,0.786,0.429,0.833,0.25,1.579,1.0,0.0,0.917,0.083,0.417,1.385,1.0
